[2025-07-10 14:04:28] [INFO    ] discord.client: logging in using static token
[2025-07-10 14:04:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-10 14:04:29] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-10 14:04:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1392892093902360626', 'username': 'bjhuygfrde56f7gyhu', 'avatar': None, 'discriminator': '2114', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-10 14:04:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-10 14:04:29] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-10 14:04:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1392892093902360626', 'name': 'bjhuygfrde56f7gyhu', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1392892093902360626', 'username': 'bjhuygfrde56f7gyhu', 'avatar': None, 'discriminator': '2114', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '2a01abb6d44bf2c3737354dc12e5a464b231c61a73cdc9914f98c2ffd5352353', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '876561372354318396', 'username': 'jaydenpoopy', 'avatar': 'b00837b7231b2b6bad16216f95d385d9', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 2893701, 'global_name': 'Jayden', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#2c2785', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-10 14:04:29] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-10 14:04:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-wxhq",{"micros":0.0}]']}}
[2025-07-10 14:04:29] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-10 14:04:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-10 14:04:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'bjhuygfrde56f7gyhu', 'primary_guild': None, 'mfa_enabled': False, 'id': '1392892093902360626', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2114', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'fe8fd10baf0922ff79d529088352d4a6', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1392891861256900628'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-south', 'us-central', 'atlanta', 'us-east', 'us-west'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1392892093902360626', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-c-wxhq",{"micros":69295,"calls":["id_created",{"micros":747,"calls":[]},"session_lookup_time",{"micros":504,"calls":[]},"session_lookup_finished",{"micros":15,"calls":[]},"discord-sessions-prd-2-32",{"micros":67516,"calls":["start_session",{"micros":50442,"calls":["discord-api-rpc-846c47469c-rx4gb",{"micros":33742,"calls":["get_user",{"micros":5261},"get_guilds",{"micros":2817},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":6136},"apex_experiments",{"micros":1369},"user_activities",{"micros":5},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":25,"calls":[]},"presence_started",{"micros":4660,"calls":[]},"guilds_started",{"micros":66,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":12297,"calls":[]},"connect_finished",{"micros":12302,"calls":[]},"build_ready",{"micros":18,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-07-10 14:04:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-10 14:04:29] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: fe8fd10baf0922ff79d529088352d4a6).
[2025-07-10 14:04:29] [DEBUG   ] discord.client: Dispatching event connect
